@relation 'balanced1-weka.filters.unsupervised.attribute.NumericToNominal-R1,20,21,22'

@attribute Khoa {1,2,3,4,5,6}
@attribute DiemDanhHK1 numeric
@attribute GPAHK1 numeric
@attribute TinChiDangKyHK1 numeric
@attribute GPATichLuyHK1 numeric
@attribute DiemDanhHK2 numeric
@attribute TinChiDangKyHK2 numeric
@attribute GPAHK2 numeric
@attribute GPATichLuyHK2 numeric
@attribute DanToc {Kinh,Khac}
@attribute GioiTinh {Nu,Nam}
@attribute QueQuan {Bac,Nam,Trung}
@attribute HonNhan {Chua,Roi}
@attribute DiemThiDaiHocTong numeric
@attribute DiemThiDaiHocToan numeric
@attribute DiemThiDaiHocLy numeric
@attribute DiemThiDaiHocHoa numeric
@attribute DiemThiDaiHocAnh numeric
@attribute DiemThiTHPT numeric
@attribute NamSinh {1988,1989,1990,1991,1992,1993,1994,1995,1996}
@attribute NamTotNghiepCap3 {2008,2009,2010,2011,2012,2013,2014}
@attribute NamNhapHoc {2010,2011,2012,2013,2014}
@attribute NhanTroCapToanPhanHK1 {Khong,Co}
@attribute NhanTroCapToanPhanHK2 {Khong,Co}
@attribute VayHocPhiHK1 {Co,Khong}
@attribute NhanHocBongHK1 {Khong,Co}
@attribute VayHocPhiHK2 {Co,Khong}
@attribute NhanHocBongHK2 {Co,Khong}
@attribute CoHocTiepKhong {Co,Khong}

@data
1,0.992013,0.859779,22,0.859779,0.904911,17,0.886003,0.87121,Kinh,Nu,Bac,Chua,23,8.25,7.25,7.5,0,40.5,1993,2011,2011,Khong,Khong,Co,Khong,Co,Co,Co
1,0.9322,0.926721,22,0.926721,0.977056,22,0.801625,0.864173,Kinh,Nam,Nam,Chua,25,8.25,7,9.75,0,46,1995,2013,2013,Co,Co,Co,Co,Co,Co,Co
4,0.947403,0.916931,22,0.916931,0.911731,19,0.869863,0.895119,Kinh,Nam,Trung,Chua,19,6.75,5.25,0,7,43.5,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
3,0.903017,0.952055,22,0.952055,0.955887,18,0.8895,0.923905,Kinh,Nam,Trung,Chua,20.25,5.75,5,9.5,0,53,1994,2012,2012,Khong,Co,Co,Khong,Co,Co,Co
1,0.965317,0.901449,22,0.901449,0.918736,14,0.953228,0.921585,Kinh,Nam,Nam,Chua,21,5.75,9.75,0,5.5,40.25,1993,2011,2013,Co,Khong,Co,Co,Co,Co,Co
1,0.969446,0.940664,22,0.940664,0.984244,19,0.861299,0.903885,Khac,Nam,Trung,Chua,21.5,8.25,8.75,0,4.5,47.25,1996,2014,2014,Khong,Khong,Co,Khong,Co,Co,Co
4,0.243435,0.239083,22,0.239083,0.142132,15,0.26884,0.251146,Kinh,Nam,Bac,Chua,19,5.25,5.25,0,8.5,58,1992,2010,2010,Khong,Khong,Khong,Co,Khong,Khong,Co
5,0.856839,0.88621,22,0.88621,0.958078,18,0.825819,0.859034,Kinh,Nam,Trung,Chua,24.75,7.25,8,9.5,0,51.5,1996,2014,2014,Co,Co,Co,Khong,Co,Co,Co
2,0.891611,0.914774,22,0.914774,0.824025,22,0.884739,0.899757,Kinh,Nam,Bac,Chua,19,9,8,0,2,46.75,1992,2010,2010,Khong,Co,Co,Khong,Co,Co,Co
2,0.948287,0.931897,22,0.931897,0.839176,20,0.831699,0.884184,Khac,Nam,Nam,Chua,22.25,8.5,8.25,5.5,0,47.5,1992,2012,2012,Co,Khong,Co,Co,Co,Co,Co
