@relation 'original_data-weka.filters.unsupervised.attribute.NumericToNominal-R1,20,21,22'

@attribute Khoa {1,2,3,4,5,6}
@attribute DiemDanhHK1 numeric
@attribute GPAHK1 numeric
@attribute TinChiDangKyHK1 numeric
@attribute GPATichLuyHK1 numeric
@attribute DiemDanhHK2 numeric
@attribute TinChiDangKyHK2 numeric
@attribute GPAHK2 numeric
@attribute GPATichLuyHK2 numeric
@attribute DanToc {Kinh,Khac}
@attribute GioiTinh {Nam,Nu}
@attribute QueQuan {Trung,Nam,Bac}
@attribute HonNhan {Chua,Roi}
@attribute DiemThiDaiHocTong numeric
@attribute DiemThiDaiHocToan numeric
@attribute DiemThiDaiHocLy numeric
@attribute DiemThiDaiHocHoa numeric
@attribute DiemThiDaiHocAnh numeric
@attribute DiemThiTHPT numeric
@attribute NamSinh {1988,1989,1990,1991,1992,1993,1994,1995,1996}
@attribute NamTotNghiepCap3 {2008,2009,2010,2011,2012,2013,2014}
@attribute NamNhapHoc {2010,2011,2012,2013,2014}
@attribute NhanTroCapToanPhanHK1 {Co,Khong}
@attribute NhanTroCapToanPhanHK2 {Khong,Co}
@attribute VayHocPhiHK1 {Co,Khong}
@attribute NhanHocBongHK1 {Co,Khong}
@attribute VayHocPhiHK2 {Co,Khong}
@attribute NhanHocBongHK2 {Co,Khong}
@attribute CoHocTiepKhong {Co,Khong}

@data
2,0.94,0.82,22,0.82,0.83,15,0.84,0.83,Kinh,Nam,Trung,Chua,23,6.25,8.75,8,0,58.5,1992,2010,2010,Co,Khong,Co,Co,Co,Co,Co
2,0.87,0.85,22,0.85,0.84,17,0.94,0.89,Kinh,Nam,Nam,Chua,21.25,8,7.75,5.5,0,44.25,1992,2010,2010,Co,Co,Co,Khong,Co,Co,Co
2,0.94,0.94,22,0.94,0.9,22,0.86,0.9,Khac,Nam,Bac,Chua,19,6,5.25,0,7.75,48,1992,2010,2010,Khong,Co,Co,Co,Co,Co,Co
4,0.87,0.91,22,0.91,0.93,21,0.81,0.86,Kinh,Nam,Bac,Chua,23.25,7.75,5.75,9.75,0,44.75,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
1,0.81,0.87,22,0.87,0.93,19,0.83,0.85,Kinh,Nam,Nam,Chua,21.5,7.25,8,6.25,0,55,1992,2010,2010,Khong,Co,Co,Co,Co,Co,Co
6,0.94,0.81,22,0.81,0.82,17,0.92,0.86,Kinh,Nu,Bac,Chua,19,6.5,6.5,0,6,41.75,1992,2010,2010,Co,Khong,Co,Co,Co,Co,Co
2,0.81,0.88,22,0.88,0.99,21,0.81,0.85,Kinh,Nam,Bac,Chua,24.75,9.5,9.25,6,0,58.75,1992,2010,2010,Co,Khong,Co,Co,Co,Co,Co
3,0.81,0.99,22,0.99,0.93,22,0.99,0.99,Kinh,Nam,Nam,Chua,19,5,8.5,0,5.5,45.25,1990,2010,2010,Co,Co,Co,Khong,Co,Co,Co
1,0.83,0.98,22,0.98,0.83,21,0.96,0.97,Kinh,Nu,Trung,Chua,19,6.25,5.75,0,7,59.5,1991,2009,2010,Co,Co,Co,Khong,Co,Co,Co
4,0.94,0.85,22,0.85,0.9,18,0.98,0.91,Kinh,Nam,Bac,Chua,19,5.75,6.25,0,7,56.25,1992,2010,2010,Co,Khong,Co,Co,Co,Co,Co
