@relation 'testdata-weka.filters.unsupervised.attribute.NumericToNominal-R1,20,21,22'

@attribute Khoa {1,2,3,4,5,6}
@attribute DiemDanhHK1 numeric
@attribute GPAHK1 numeric
@attribute TinChiDangKyHK1 numeric
@attribute GPATichLuyHK1 numeric
@attribute DiemDanhHK2 numeric
@attribute TinChiDangKyHK2 numeric
@attribute GPAHK2 numeric
@attribute GPATichLuyHK2 numeric
@attribute DanToc {Kinh,Khac}
@attribute GioiTinh {Nam,Nu}
@attribute QueQuan {Nam,Trung,Bac}
@attribute HonNhan {Chua,Roi}
@attribute DiemThiDaiHocTong numeric
@attribute DiemThiDaiHocToan numeric
@attribute DiemThiDaiHocLy numeric
@attribute DiemThiDaiHocHoa numeric
@attribute DiemThiDaiHocAnh numeric
@attribute DiemThiTHPT numeric
@attribute NamSinh {1993,1994,1995,1996,1997}
@attribute NamTotNghiepCap3 {2013,2014,2015}
@attribute NamNhapHoc {2015}
@attribute NhanTroCapToanPhanHK1 {Co,Khong}
@attribute NhanTroCapToanPhanHK2 {Co,Khong}
@attribute VayHocPhiHK1 {Co,Khong}
@attribute NhanHocBongHK1 {Co,Khong}
@attribute VayHocPhiHK2 {Co,Khong}
@attribute NhanHocBongHK2 {Co,Khong}
@attribute CoHocTiepKhong {Co,Khong}

@data
6,0.844924,0.948171,22,0.948171,0.923565,14,0.814452,0.896169,Kinh,Nam,Nam,Chua,22,5,7.5,0,9.5,52,1996,2015,2015,Co,Co,Co,Co,Co,Co,Co
1,0.810585,0.917688,22,0.917688,0.853906,18,0.933222,0.924678,Kinh,Nu,Nam,Chua,22,8.25,5,0,8.75,51,1997,2015,2015,Khong,Khong,Co,Co,Co,Co,Co
4,0.969295,0.874521,22,0.874521,0.995257,20,0.869417,0.872091,Kinh,Nam,Nam,Chua,22,9.75,8,0,4.25,58,1997,2015,2015,Khong,Khong,Co,Co,Co,Co,Co
5,0.888459,0.881048,22,0.881048,0.900174,22,0.948774,0.914911,Kinh,Nam,Nam,Chua,22.25,7,8.25,7,0,51.5,1997,2015,2015,Co,Khong,Co,Khong,Co,Co,Co
3,0.824692,0.800836,22,0.800836,0.83783,17,0.917622,0.851743,Kinh,Nu,Trung,Chua,27,9.25,8.5,9.25,0,42.75,1997,2015,2015,Co,Khong,Co,Co,Co,Co,Co
3,0.993479,0.851862,22,0.851862,0.927908,16,0.949616,0.893022,Kinh,Nam,Bac,Chua,22,7.25,9.75,0,5,44.75,1995,2015,2015,Khong,Co,Co,Co,Co,Co,Co
6,0.914334,0.834812,22,0.834812,0.999629,15,0.874685,0.850977,Kinh,Nam,Bac,Chua,25.75,8.25,9,8.5,0,41.25,1997,2015,2015,Co,Co,Co,Khong,Co,Co,Co
5,0.811121,0.895377,22,0.895377,0.849187,18,0.852926,0.876274,Kinh,Nam,Nam,Chua,22,8,7.75,0,6.25,46.25,1993,2013,2015,Co,Co,Co,Khong,Co,Co,Co
2,0.94506,0.849848,22,0.849848,0.812508,15,0.928941,0.881913,Kinh,Nu,Bac,Chua,25,8,9.25,7.75,0,44.25,1997,2015,2015,Co,Khong,Co,Co,Co,Co,Co
5,0.999138,0.949241,22,0.949241,0.933443,17,0.823025,0.894224,Kinh,Nam,Nam,Chua,26.75,9.75,9.5,7.5,0,47.5,1997,2015,2015,Khong,Khong,Co,Khong,Co,Co,Co
2,0.832236,0.95501,22,0.95501,0.977172,19,0.819355,0.892145,Kinh,Nu,Trung,Chua,22,7.75,7.25,7,0,45.25,1997,2015,2015,Co,Co,Co,Khong,Co,Co,Co
2,0.992498,0.878816,22,0.878816,0.961567,17,0.950192,0.909929,Kinh,Nam,Nam,Chua,22.5,6.5,6.25,9.75,0,41.5,1995,2015,2015,Khong,Khong,Co,Khong,Co,Co,Co
5,0.80959,0.877764,22,0.877764,0.823132,15,0.819955,0.854328,Kinh,Nam,Trung,Chua,22,7.75,7.5,6.75,0,54.5,1997,2015,2015,Khong,Co,Co,Khong,Co,Co,Co
3,0.914248,0.940809,22,0.940809,0.815254,16,0.853409,0.904009,Khac,Nam,Bac,Chua,22,7.5,8.25,0,6.25,46.25,1997,2015,2015,Khong,Co,Co,Khong,Co,Co,Co
3,0.978038,0.948524,22,0.948524,0.941086,22,0.836856,0.89269,Kinh,Nam,Trung,Chua,22,8.5,5.5,8,0,57.75,1997,2015,2015,Khong,Khong,Co,Khong,Co,Co,Co
6,0.92479,0.901778,22,0.901778,0.936191,19,0.819525,0.863661,Kinh,Nam,Trung,Chua,22,9,9.75,0,3.25,46.25,1997,2015,2015,Khong,Co,Co,Khong,Co,Co,Co
